iBike,13,metric
2022,3,8,17,31,18
,<-Weight (kg) Energy (kJ),Aero,Fric,dt,Ref Elev (m),Climbing (m),Wheel Circ (mm),Ref Temper (degC),Ref Press (mbar),Internal,Wind Scaling,Riding Tilt (%),Cal Weight (kg),Internal,Cm,CdA (m^2),Crr,Note,UTC Time Zone Offset,Creator,Ride Duration,Ride Distance (km),Calories Burned (kcal),Trainer Ride,Device
68.946040,66.000000,0.382447,11.283272,1.000000,0.000000,42.976800,2068.0,14.85,1013.25,-8,1.28047,-0.70,68.9,0.000,1.0204,0.29868,0.009683,,-8.00,"iBike Newton, 9.00",0:17:43,4.63,63.5,FALSE,iBike Newton
Speed (km/hr),Wind Speed (km/hr),Power (W),Distance (km),Cadence (RPM),Heartrate (BPM),Elevation (meters),Hill slope (%),Temperature (degC),Lap Marker,Annotation,DFPM Power,Latitude,Longitude,Timestamp,Moving Time,CdA (m^2),Air Dens (kg/m^3)
17.5418,15.438,63.0188,0.0049,0.001,119,41.7576,-0.3,8.8889,1,,0,0,0,2022-03-09T01:31:18Z,0,0.2987,1.2453
17.5418,16.3209,65.0194,0.0097,0.001,119,41.7576,-0.4,8.8889,,,0,0,0,2022-03-09T01:31:19Z,1,0.2987,1.2453
17.7028,16.3209,32,0.0147,0.001,119,41.7576,-0.4,8.8889,,,0,0,0,2022-03-09T01:31:20Z,2,0.2987,1.2453
17.5418,15.8856,21,0.0195,0.001,119,41.7576,-0.5,8.8889,,,0,0,0,2022-03-09T01:31:21Z,3,0.2987,1.2453
17.22,15.8856,4,0.0243,0.001,119,41.7576,-0.6,8.8889,,,0,0,0,2022-03-09T01:31:22Z,4,0.2987,1.2453
16.8981,14.9768,0,0.029,0.001,119,41.7576,-0.6,8.8889,,,0,0,0,2022-03-09T01:31:23Z,5,0.2987,1.2454
16.0934,14.5012,0,0.0335,0.001,118,41.7576,-0.4,8.8889,,,0,0,0,2022-03-09T01:31:24Z,6,0.2987,1.2454
14.4841,12.9705,0,0.0375,0.001,117,41.4528,-0.4,8.8889,,,0,0,0,2022-03-09T01:31:25Z,7,0.2987,1.2453
12.5529,12.4183,0,0.041,0.001,116,41.7576,-0.3,8.8889,,,0,0,0,2022-03-09T01:31:26Z,8,0.2987,1.2453
9.9779,12.4183,0,0.0438,0.001,116,41.7576,-0.5,8.8889,,,0,0,0,2022-03-09T01:31:27Z,9,0.2987,1.2453
8.2077,11.8404,0,0.046,0.001,117,41.4528,-1.4,8.8889,,,0,0,0,2022-03-09T01:31:28Z,10,0.2987,1.2453
7.5639,11.2328,0,0.0481,0.001,117,41.148,-2.8,8.8889,,,0,0,0,2022-03-09T01:31:29Z,11,0.2987,1.2453
7.0811,10.5904,0,0.0501,0.001,116,41.148,-4.3,8.8889,,,0,0,0,2022-03-09T01:31:30Z,12,0.2987,1.2453
